project,bug_ID,patch_ID,label,verdict,consistency,time
Math,5,413_NFL_TBar_Patch_2_2,Correct,A,C,614.7362871170044
Math,5,440_PFL_RSRepair-A_Patch_510_172,Correct,A,C,615.1196947097777
Math,5,491_PFL_SimFix_Patch_1_1,Correct,A,C,615.1088843345643
Math,5,611_NFL_SimFix_Patch_1_1,Correct,A,C,614.9845528602599
Math,5,Math_bug5,Correct,A,C,615.0162150859833
Math,5,Patch196,Correct,A,C,615.4147069454192
Math,5,Patch29,Correct,A,C,615.2852816581726
Math,7,247_NFL_kPAR_Patch_405_243,Incorrect,A,I,23.528697967529297
Math,7,291_NFL_Nopol_Patch_1_1,Incorrect,A,I,23.84446692466736
Math,7,Math_bug7,Correct,A,C,23.53444075584412
Math,8,143_PFL_kPAR_Patch_14_3,Incorrect,A,I,615.3780925273895
Math,8,155_NFL_DynaMoth_Patch_1_1,Incorrect,R,C,29.692809343338013
Math,8,210_NFL_kPAR_Patch_41_6,Incorrect,A,I,615.373295545578
Math,8,356_NFL_TBar_Patch_47_16,Incorrect,R,C,29.76327657699585
Math,8,449_PFL_SimFix_Patch_78_78,Incorrect,R,C,29.69022583961487
Math,8,550_NFL_SimFix_Patch_78_78,Incorrect,R,C,29.69892764091492
Math,8,Math_bug8,Correct,A,C,615.2691171169281
Math,8,Patch30,Incorrect,R,C,29.72780203819275
Math,8,Patch31,Incorrect,R,C,29.53899550437927
Math,22,572_PFL_FixMiner_Patch_2_2,Incorrect,R,C,13.98384165763855
Math,22,573_PFL_FixMiner_Patch_1_1,Incorrect,R,C,17.36998963356018
Math,22,PatchHDRepair3,Incorrect,R,C,17.24107050895691
Math,24,Math_bug24,Correct,A,C,615.3446230888368
Math,24,Patch157,Incorrect,R,C,29.32029318809509
Math,25,245_PFL_ACS_Patch_2_2,Correct,A,C,614.4911890029907
Math,25,Math_bug25,Correct,A,C,615.2784242630005
Math,25,Patch197,Correct,A,C,614.7283329963684
Math,28,120_PFL_DynaMoth_Patch_1_1,Incorrect,R,C,30.634056091308594
Math,28,324_NFL_ACS_Patch_2_1,Incorrect,R,C,30.972251176834106
Math,28,365_PFL_ARJA_Patch_2_1,Incorrect,R,C,30.86603307723999
Math,28,398_PFL_GenProg-A_Patch_5_2,Incorrect,R,C,31.13278079032898
Math,28,430_PFL_RSRepair-A_Patch_4_1,Incorrect,R,C,30.85910153388977
Math,28,456_NFL_ARJA_Patch_6_6,Incorrect,R,C,30.85093426704407
Math,28,49_PFL_AVATAR_Patch_29,Incorrect,R,C,30.965888261795047
Math,28,526_NFL_RSRepair-A_Patch_28_11,Incorrect,R,C,30.82230830192566
Math,28,550_PFL_FixMiner_Patch_8_6,Incorrect,R,C,30.9685640335083
Math,28,97_PFL_Kali-A_Patch_1_1,Incorrect,R,C,30.919779300689697
Math,28,Math_bug28,Correct,A,C,614.84619140625
Math,28,Patch158,Incorrect,R,C,31.0660138130188
Math,28,Patch198,Incorrect,R,C,31.35597944259644
Math,28,Patch32,Incorrect,R,C,31.473317384719852
Math,28,Patch33,Incorrect,R,C,31.34100151062012
Math,32,116_PFL_DynaMoth_Patch_1_1,Incorrect,A,I,615.1615688800813
Math,32,120_NFL_Kali-A_Patch_2_2,Incorrect,A,I,615.0644271373749
Math,32,164_NFL_DynaMoth_Patch_1_1,Incorrect,A,I,614.9643466472627
Math,32,89_PFL_Kali-A_Patch_2_2,Incorrect,A,I,614.7682075500487
Math,32,Math_bug32,Correct,A,C,614.7978391647339
Math,32,Patch34,Incorrect,A,I,614.9219651222229
Math,33,205_PFL_Nopol_Patch_1_1,Incorrect,R,C,557.4233160018921
Math,33,284_NFL_Nopol_Patch_1_1,Incorrect,R,C,364.2541449069977
Math,33,480_PFL_SimFix_Patch_1_1,Correct,A,C,614.4675385951997
Math,33,520_NFL_RSRepair-A_Patch_8_3,Incorrect,R,C,446.5824670791626
Math,33,559_PFL_FixMiner_Patch_64_17,Correct,A,C,614.5392518043517
Math,33,56_PFL_AVATAR_Patch_40,Correct,A,C,614.4917335510254
Math,33,Math_bug33,Correct,A,C,614.1314775943756
Math,33,Patch159,Incorrect,R,C,232.15096759796143
Math,33,Patch36,Incorrect,R,C,139.75129723548892
Math,34,561_PFL_FixMiner_Patch_2_1,Correct,A,C,614.5549781322478
Math,34,Math_bug34,Correct,A,C,614.3221893310548
Math,34,PatchHDRepair4,Correct,A,C,614.5333807468413
Math,35,228_PFL_ACS_Patch_8_8,Correct,A,C,614.2482168674469
Math,35,314_NFL_ACS_Patch_11_11,Correct,A,C,614.340354681015
Math,35,416_NFL_ARJA_Patch_303_303,Correct,A,C,614.2529013156891
Math,35,445_PFL_SimFix_Patch_19_19,Correct,A,C,614.3679246902467
Math,35,510_PFL_FixMiner_Patch_2_2,Correct,A,C,614.2595729827882
Math,35,511_PFL_FixMiner_Patch_1_1,Incorrect,R,C,13.694666624069214
Math,35,Math_bug35,Correct,A,C,614.5938055515288
Math,35,Patch199,Correct,A,C,614.4431319236755
Math,39,Math_bug39,Correct,A,C,614.7826378345491
Math,39,Patch160,Incorrect,A,I,614.6966648101808
Math,40,248_NFL_kPAR_Patch_452_264,Incorrect,R,C,31.566088914871216
Math,40,454_NFL_ARJA_Patch_195_167,Incorrect,R,C,29.26194953918457
Math,40,490_NFL_GenProg-A_Patch_1241_726,Incorrect,R,C,30.49980163574219
Math,40,525_NFL_RSRepair-A_Patch_146_63,Incorrect,R,C,28.964304685592648
Math,40,Math_bug40,Correct,A,C,614.4998898506166
Math,40,Patch161,Incorrect,R,C,29.15627908706665
Math,40,Patch37,Incorrect,R,C,29.444882154464718
Math,40,Patch38,Incorrect,R,C,29.22686219215393
Math,41,160_NFL_DynaMoth_Patch_1_1,Incorrect,A,I,614.3800110816957
Math,41,277_NFL_Nopol_Patch_1_1,Incorrect,A,I,614.5681121349335
